t: 0.00, HISTORY < 2  -> retourne 0.00
[SCEN] t=0.10 scen=Fx crit=(t>0:10) T_bat=0.017059615106891583 p=-10.00 L=12.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-5) T_bat=0.017059615106891583 p=-10.00 L=12.00
0-: t: 0.10, delta_L: 0.00, -> retourne 0.05
MAIN: t=0.20, L= 12.00, est_dT_dL=  -5.42, y_rov=-10.01, vy_rov= -0.05, Vy_lim= -0.14, T= 0.01, Tcible= 25.00, ret1=    2.46, ret2=  0.53, ret=  0.53
MAIN: t=0.30, L= 12.06, est_dT_dL=  -0.49, y_rov=-10.02, vy_rov= -0.10, Vy_lim= -0.14, T= 0.01, Tcible= 25.00, ret1=   25.49, ret2=  5.52, ret=  1.00
MAIN: t=0.40, L= 12.16, est_dT_dL=  -0.16, y_rov=-10.03, vy_rov= -0.14, Vy_lim= -0.14, T= 0.01, Tcible= 25.00, ret1=   77.46, ret2= 16.29, ret=  1.00
MAIN: t=0.50, L= 12.26, est_dT_dL=  -0.07, y_rov=-10.05, vy_rov= -0.17, Vy_lim= -0.14, T= 0.02, Tcible= 25.00, ret1=  167.50, ret2= 34.30, ret=  1.00
MAIN: t=0.60, L= 12.36, est_dT_dL=  -0.03, y_rov=-10.07, vy_rov= -0.20, Vy_lim= -0.14, T= 0.03, Tcible= 25.00, ret1=  397.16, ret2= 80.23, ret=  1.00
MAIN: t=0.70, L= 12.46, est_dT_dL=  -0.01, y_rov=-10.09, vy_rov= -0.23, Vy_lim= -0.14, T= 0.04, Tcible= 25.00, ret1= 2333.29, ret2= 467.46, ret=  1.00
MAIN: t=0.80, L= 12.56, est_dT_dL=   0.01, y_rov=-10.11, vy_rov= -0.25, Vy_lim= -0.14, T= 0.05, Tcible= 25.00, ret1=-1055.88, ret2=-210.38, ret= -1.00
MAIN: t=0.90, L= 12.46, est_dT_dL=   0.03, y_rov=-10.14, vy_rov= -0.27, Vy_lim= -0.14, T= 0.05, Tcible= 25.00, ret1= -397.84, ret2=-80.37, ret= -1.00
MAIN: t=1.00, L= 12.36, est_dT_dL=   0.06, y_rov=-10.17, vy_rov= -0.28, Vy_lim= -0.14, T= 0.06, Tcible= 25.00, ret1= -215.58, ret2=-43.92, ret= -1.00
MAIN: t=1.10, L= 12.26, est_dT_dL=   0.19, y_rov=-10.20, vy_rov= -0.29, Vy_lim= -0.14, T= 0.07, Tcible= 25.00, ret1=  -66.09, ret2=-14.02, ret= -1.00
MAIN: t=1.20, L= 12.16, est_dT_dL=   0.38, y_rov=-10.23, vy_rov= -0.30, Vy_lim= -0.14, T= 0.07, Tcible= 25.00, ret1=  -32.92, ret2= -7.38, ret= -1.00
0-: t: 1.30, delta_L: -0.00, -> retourne 0.19
MAIN: t=1.40, L= 12.08, est_dT_dL=  -0.78, y_rov=-10.29, vy_rov= -0.31, Vy_lim= -0.14, T= 0.08, Tcible= 25.00, ret1=   15.99, ret2=  3.35, ret=  1.00
MAIN: t=1.50, L= 12.18, est_dT_dL=  -0.76, y_rov=-10.32, vy_rov= -0.31, Vy_lim= -0.14, T= 0.08, Tcible= 25.00, ret1=   16.43, ret2=  4.09, ret=  1.00
MAIN: t=1.60, L= 12.28, est_dT_dL=  -0.72, y_rov=-10.35, vy_rov= -0.32, Vy_lim= -0.14, T= 0.09, Tcible= 25.00, ret1=   17.34, ret2=  4.27, ret=  1.00
MAIN: t=1.70, L= 12.38, est_dT_dL=  -0.67, y_rov=-10.39, vy_rov= -0.32, Vy_lim= -0.14, T= 0.09, Tcible= 25.00, ret1=   18.74, ret2=  4.55, ret=  1.00
MAIN: t=1.80, L= 12.48, est_dT_dL=  -0.61, y_rov=-10.42, vy_rov= -0.32, Vy_lim= -0.14, T= 0.10, Tcible= 25.00, ret1=   20.60, ret2=  4.92, ret=  1.00
MAIN: t=1.90, L= 12.58, est_dT_dL=   0.38, y_rov=-10.45, vy_rov= -0.32, Vy_lim= -0.14, T= 0.10, Tcible= 25.00, ret1=  -32.47, ret2= -5.69, ret= -1.00
MAIN: t=2.00, L= 12.48, est_dT_dL=   0.34, y_rov=-10.48, vy_rov= -0.32, Vy_lim= -0.14, T= 0.10, Tcible= 25.00, ret1=  -36.29, ret2= -8.06, ret= -1.00
MAIN: t=2.10, L= 12.38, est_dT_dL=   0.30, y_rov=-10.51, vy_rov= -0.32, Vy_lim= -0.14, T= 0.10, Tcible= 25.00, ret1=  -41.84, ret2= -9.17, ret= -1.00
MAIN: t=2.20, L= 12.28, est_dT_dL=   0.25, y_rov=-10.55, vy_rov= -0.32, Vy_lim= -0.14, T= 0.10, Tcible= 25.00, ret1=  -48.64, ret2=-10.53, ret= -1.00
MAIN: t=2.30, L= 12.18, est_dT_dL=   0.22, y_rov=-10.58, vy_rov= -0.33, Vy_lim= -0.14, T= 0.10, Tcible= 25.00, ret1=  -56.79, ret2=-12.16, ret= -1.00
0-: t: 2.40, delta_L: -0.00, -> retourne 0.19
MAIN: t=2.50, L= 12.10, est_dT_dL=  -0.21, y_rov=-10.64, vy_rov= -0.33, Vy_lim= -0.14, T= 0.10, Tcible= 25.00, ret1=   59.94, ret2= 12.14, ret=  1.00
