[SCEN] t=0.10 scen=Fy crit=(t>0:-5) T_bat=7.8750814866033725 y=0.00 x=3.00 L=12.00
IC_L_7: t= 0.10, L= 12.00, L_straight=  3.00, slack=  9.00, T_bat= 7.88, T_rov= 7.88, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.01, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.20, L= 12.00, L_straight=  3.00, slack=  9.00, T_bat= 8.86, T_rov= 8.86, F_drag_cable=( 0.00,  0.00), Fy_cmd= -5.00, desired= -0.10, ret= -0.02, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 0.30, L= 12.00, L_straight=  2.99, slack=  9.00, T_bat= 9.97, T_rov= 9.97, F_drag_cable=( 0.01,  0.02), Fy_cmd= -5.00, desired= -0.10, ret= -0.03, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 0.40, L= 11.99, L_straight=  2.99, slack=  9.01, T_bat= 11.21, T_rov= 11.21, F_drag_cable=( 0.01,  0.05), Fy_cmd= -5.00, desired= -0.10, ret= -0.03, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 0.50, L= 11.99, L_straight=  2.98, slack=  9.01, T_bat= 12.61, T_rov= 12.61, F_drag_cable=( 0.02,  0.10), Fy_cmd= -5.00, desired= -0.10, ret= -0.04, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 0.60, L= 11.99, L_straight=  2.96, slack=  9.02, T_bat= 14.19, T_rov= 14.19, F_drag_cable=( 0.04,  0.16), Fy_cmd= -5.00, desired= -0.10, ret= -0.05, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 0.70, L= 11.98, L_straight=  2.95, slack=  9.03, T_bat= 15.97, T_rov= 15.97, F_drag_cable=( 0.06,  0.17), Fy_cmd= -5.00, desired= -0.10, ret= -0.05, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 0.80, L= 11.98, L_straight=  2.93, slack=  9.05, T_bat= 17.96, T_rov= 17.96, F_drag_cable=( 0.10,  0.17), Fy_cmd= -5.00, desired= -0.10, ret= -0.06, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 0.90, L= 11.97, L_straight=  2.91, slack=  9.06, T_bat= 20.21, T_rov= 20.21, F_drag_cable=( 0.15,  0.18), Fy_cmd= -5.00, desired= -0.10, ret= -0.06, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 1.00, L= 11.97, L_straight=  2.88, slack=  9.08, T_bat= 22.73, T_rov= 22.73, F_drag_cable=( 0.19,  0.16), Fy_cmd= -5.00, desired= -0.10, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 1.10, L= 11.96, L_straight=  2.85, slack=  9.10, T_bat= 25.57, T_rov= 25.57, F_drag_cable=( 0.19,  0.10), Fy_cmd= -5.00, desired= -0.10, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 1.20, L= 11.95, L_straight=  2.83, slack=  9.12, T_bat= 28.77, T_rov= 28.77, F_drag_cable=( 0.11,  0.07), Fy_cmd= -5.00, desired= -0.10, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 1.30, L= 11.94, L_straight=  2.82, slack=  9.12, T_bat= 32.37, T_rov= 32.37, F_drag_cable=( 0.06,  0.05), Fy_cmd= -5.00, desired= -0.10, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 1.40, L= 11.94, L_straight=  2.81, slack=  9.13, T_bat= 36.41, T_rov= 36.41, F_drag_cable=( 0.03,  0.02), Fy_cmd= -5.00, desired= -0.10, ret= -0.08, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 1.50, L= 11.93, L_straight=  2.80, slack=  9.13, T_bat= 40.96, T_rov= 40.96, F_drag_cable=( 0.03,  0.00), Fy_cmd= -5.00, desired= -0.10, ret= -0.08, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 1.60, L= 11.92, L_straight=  2.79, slack=  9.13, T_bat= 46.08, T_rov= 46.08, F_drag_cable=( 0.03, -0.01), Fy_cmd= -5.00, desired= -0.10, ret= -0.08, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 1.70, L= 11.91, L_straight=  2.77, slack=  9.14, T_bat= 51.84, T_rov= 51.84, F_drag_cable=( 0.03, -0.05), Fy_cmd= -5.00, desired= -0.10, ret= -0.08, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 1.80, L= 11.90, L_straight=  2.76, slack=  9.15, T_bat= 58.32, T_rov= 58.32, F_drag_cable=( 0.04, -0.14), Fy_cmd= -5.00, desired= -0.10, ret= -0.08, exp=PILOT_DESC_SLACK_CAP_ACC
