[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
AUTO_L_6: t=0.10, T=0.81, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.00, desired= -0.20, ret= -0.02, exp=REG_SIGN_ACC
AUTO_L_6: t=0.20, T=1.07, Trupt=50.00, Tcible=5.00, est_dT_dL=-347.25, desired= -0.01, ret= -0.02, exp=REG_T_ACC
AUTO_L_6: t=0.30, T=4.23, Trupt=50.00, Tcible=5.00, est_dT_dL=-997.30, desired= -0.00, ret= -0.02, exp=REG_T_ACC
AUTO_L_6: t=0.40, T=8.85, Trupt=50.00, Tcible=5.00, est_dT_dL=-1531.34, desired=  0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=0.50, T=13.18, Trupt=50.00, Tcible=5.00, est_dT_dL=-1821.92, desired=  0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=0.60, T=16.45, Trupt=50.00, Tcible=5.00, est_dT_dL=-1925.29, desired=  0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=0.70, T=18.64, Trupt=50.00, Tcible=5.00, est_dT_dL=-1920.22, desired=  0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=0.80, T=20.00, Trupt=50.00, Tcible=5.00, est_dT_dL=-1864.88, desired=  0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=0.90, T=20.80, Trupt=50.00, Tcible=5.00, est_dT_dL=-1793.33, desired=  0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=1.00, T=21.26, Trupt=50.00, Tcible=5.00, est_dT_dL=-1722.62, desired=  0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=1.10, T=21.53, Trupt=50.00, Tcible=5.00, est_dT_dL=-1626.51, desired=  0.01, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=1.20, T=21.68, Trupt=50.00, Tcible=5.00, est_dT_dL=-1832.46, desired=  0.00, ret= -0.00, exp=REG_T_ACC
AUTO_L_6: t=1.30, T=21.76, Trupt=50.00, Tcible=5.00, est_dT_dL=-1790.25, desired=  0.00, ret= -0.00, exp=REG_T_ACC
AUTO_L_6: t=1.40, T=21.81, Trupt=50.00, Tcible=5.00, est_dT_dL=-1535.25, desired=  0.01, ret= -0.00, exp=REG_T_ACC
AUTO_L_6: t=1.50, T=21.83, Trupt=50.00, Tcible=5.00, est_dT_dL=-1205.41, desired=  0.01, ret= -0.00, exp=REG_T_ACC
AUTO_L_6: t=1.60, T=21.85, Trupt=50.00, Tcible=5.00, est_dT_dL=-899.75, desired=  0.01, ret= -0.00, exp=REG_T_ACC
AUTO_L_6: t=1.70, T=21.86, Trupt=50.00, Tcible=5.00, est_dT_dL=-660.79, desired=  0.01, ret=  0.00, exp=REG_T_ACC
AUTO_L_6: t=1.80, T=21.86, Trupt=50.00, Tcible=5.00, est_dT_dL=-496.13, desired=  0.02, ret=  0.00, exp=REG_T_ACC
AUTO_L_6: t=1.90, T=21.86, Trupt=50.00, Tcible=5.00, est_dT_dL=-404.02, desired=  0.02, ret=  0.00, exp=REG_T_ACC
AUTO_L_6: t=2.00, T=21.87, Trupt=50.00, Tcible=5.00, est_dT_dL=-412.81, desired=  0.02, ret=  0.01, exp=REG_T_ACC
AUTO_L_6: t=2.10, T=21.87, Trupt=50.00, Tcible=5.00, est_dT_dL=-1409.06, desired=  0.01, ret=  0.01, exp=REG_T_ACC
AUTO_L_6: t=2.20, T=21.87, Trupt=50.00, Tcible=5.00, est_dT_dL= 218.90, desired= -0.04, ret=  0.00, exp=REG_T_ACC
AUTO_L_6: t=2.30, T=21.87, Trupt=50.00, Tcible=5.00, est_dT_dL=  74.10, desired= -0.11, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=2.40, T=21.87, Trupt=50.00, Tcible=5.00, est_dT_dL=  78.38, desired= -0.11, ret= -0.02, exp=REG_T_ACC
AUTO_L_6: t=2.50, T=21.87, Trupt=50.00, Tcible=5.00, est_dT_dL= -32.42, desired=  0.26, ret=  0.01, exp=REG_T_ACC
AUTO_L_6: t=2.60, T=21.87, Trupt=50.00, Tcible=5.00, est_dT_dL=-694.25, desired=  0.01, ret=  0.01, exp=REG_T_ACC
AUTO_L_6: t=2.70, T=21.87, Trupt=50.00, Tcible=5.00, est_dT_dL=  10.87, desired= -0.78, ret= -0.04, exp=REG_T_ACC
AUTO_L_6: t=2.80, T=21.87, Trupt=50.00, Tcible=5.00, est_dT_dL=  -1.21, desired=  6.94, ret=  0.01, exp=REG_T_ACC
AUTO_L_6: t=2.90, T=21.87, Trupt=50.00, Tcible=5.00, est_dT_dL=  -0.39, desired= 21.85, ret=  0.06, exp=REG_T_ACC
AUTO_L_6: t=3.00, T=21.87, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.33, desired=-25.56, ret=  0.01, exp=REG_T_ACC
AUTO_L_6: t=3.10, T=21.87, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.32, desired=-26.03, ret= -0.04, exp=REG_T_ACC
AUTO_L_6: t=3.20, T=21.87, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.20, desired=-41.82, ret= -0.09, exp=REG_T_ACC
AUTO_L_6: t=3.30, T=21.86, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-27.60, ret= -0.14, exp=REG_T_ACC
AUTO_L_6: t=3.40, T=21.86, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.33, desired=-25.68, ret= -0.19, exp=REG_T_ACC
AUTO_L_6: t=3.50, T=21.85, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.34, desired=-24.83, ret= -0.24, exp=REG_T_ACC
AUTO_L_6: t=3.60, T=21.84, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.34, desired=-24.79, ret= -0.29, exp=REG_T_ACC
AUTO_L_6: t=3.70, T=21.83, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.35, desired=-24.28, ret= -0.34, exp=REG_T_ACC
AUTO_L_6: t=3.80, T=21.82, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.36, desired=-23.54, ret= -0.39, exp=REG_T_ACC
AUTO_L_6: t=3.90, T=21.81, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.36, desired=-23.60, ret= -0.44, exp=REG_T_ACC
AUTO_L_6: t=4.00, T=21.79, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.36, desired=-23.58, ret= -0.49, exp=REG_T_ACC
AUTO_L_6: t=4.10, T=21.77, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.36, desired=-23.17, ret= -0.54, exp=REG_T_ACC
AUTO_L_6: t=4.20, T=21.75, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.37, desired=-22.84, ret= -0.59, exp=REG_T_ACC
AUTO_L_6: t=4.30, T=21.73, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.37, desired=-22.61, ret= -0.64, exp=REG_T_ACC
