IC_L_7: t= 0.10, L= 12.00, L_straight= 11.18, slack=  0.82, T_bat= 0.05, Fy=-0.00, desired= -0.74, ret= -0.05, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.20, L= 11.99, L_straight= 11.19, slack=  0.81, T_bat= 0.05, Fy=-0.00, desired= -0.72, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.30, L= 11.98, L_straight= 11.19, slack=  0.79, T_bat= 0.04, Fy=-0.00, desired= -0.69, ret= -0.15, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.40, L= 11.97, L_straight= 11.20, slack=  0.77, T_bat= 0.03, Fy=-0.00, desired= -0.64, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.50, L= 11.95, L_straight= 11.21, slack=  0.74, T_bat= 0.04, Fy= 0.00, desired= -0.58, ret= -0.24, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.60, L= 11.93, L_straight= 11.22, slack=  0.70, T_bat= 0.05, Fy= 0.00, desired= -0.50, ret= -0.26, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.70, L= 11.90, L_straight= 11.24, slack=  0.66, T_bat= 0.06, Fy= 0.00, desired= -0.42, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.80, L= 11.87, L_straight= 11.26, slack=  0.62, T_bat= 0.07, Fy= 0.00, desired= -0.33, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.90, L= 11.84, L_straight= 11.27, slack=  0.57, T_bat= 0.08, Fy= 0.00, desired= -0.24, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 1.00, L= 11.82, L_straight= 11.29, slack=  0.52, T_bat= 0.09, Fy= 0.00, desired= -0.15, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 1.10, L= 11.79, L_straight= 11.31, slack=  0.48, T_bat= 0.10, Fy= 0.00, desired=  0.00, ret= -0.24, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.20, L= 11.76, L_straight= 11.33, slack=  0.43, T_bat= 0.11, Fy= 0.00, desired=  0.00, ret= -0.22, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.30, L= 11.74, L_straight= 11.35, slack=  0.39, T_bat= 0.12, Fy= 0.00, desired=  0.00, ret= -0.19, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.40, L= 11.72, L_straight= 11.37, slack=  0.35, T_bat= 0.12, Fy= 0.00, desired=  0.00, ret= -0.18, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.50, L= 11.71, L_straight= 11.39, slack=  0.31, T_bat= 0.13, Fy= 0.01, desired=  0.00, ret= -0.16, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.60, L= 11.69, L_straight= 11.42, slack=  0.27, T_bat= 0.13, Fy= 0.01, desired=  0.00, ret= -0.14, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.70, L= 11.68, L_straight= 11.44, slack=  0.24, T_bat= 0.14, Fy= 0.01, desired=  0.00, ret= -0.13, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.80, L= 11.66, L_straight= 11.46, slack=  0.20, T_bat= 0.14, Fy= 0.01, desired=  0.00, ret= -0.12, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.90, L= 11.65, L_straight= 11.48, slack=  0.17, T_bat= 0.15, Fy= 0.01, desired=  0.00, ret= -0.10, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.00, L= 11.64, L_straight= 11.51, slack=  0.13, T_bat= 0.15, Fy= 0.01, desired=  0.00, ret= -0.09, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.10, L= 11.63, L_straight= 11.53, slack=  0.10, T_bat= 0.15, Fy= 0.02, desired=  0.00, ret= -0.08, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.20, L= 11.62, L_straight= 11.55, slack=  0.07, T_bat= 0.16, Fy= 0.02, desired=  0.00, ret= -0.08, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.30, L= 11.62, L_straight= 11.58, slack=  0.04, T_bat= 0.17, Fy= 0.03, desired=  0.00, ret= -0.07, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.40, L= 11.61, L_straight= 11.60, slack=  0.01, T_bat= 0.21, Fy= 0.06, desired=  0.00, ret= -0.06, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.50, L= 11.60, L_straight= 11.60, slack=  0.00, T_bat= 0.28, Fy= 0.13, desired=  0.00, ret= -0.06, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.60, L= 11.60, L_straight= 11.60, slack=  0.00, T_bat= 8.70, Fy= 7.81, desired=  0.00, ret= -0.05, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.70, L= 11.59, L_straight= 11.59, slack=  0.00, T_bat= 9.84, Fy= 8.85, desired=  0.00, ret= -0.04, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.80, L= 11.59, L_straight= 11.59, slack=  0.00, T_bat= 10.00, Fy= 8.99, desired=  0.00, ret= -0.04, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.90, L= 11.58, L_straight= 11.58, slack=  0.00, T_bat= 10.02, Fy= 9.01, desired=  0.00, ret= -0.04, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.00, L= 11.58, L_straight= 11.58, slack=  0.00, T_bat= 10.02, Fy= 9.01, desired=  0.00, ret= -0.03, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.10, L= 11.58, L_straight= 11.58, slack=  0.00, T_bat= 10.02, Fy= 9.01, desired=  0.00, ret= -0.03, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.20, L= 11.57, L_straight= 11.57, slack=  0.00, T_bat= 10.02, Fy= 9.01, desired=  0.00, ret= -0.03, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.30, L= 11.57, L_straight= 11.57, slack= -0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.02, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.40, L= 11.57, L_straight= 11.57, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.02, exp=PILOT_ASC_HOLD_ACC
