IC_L_7: t= 0.10, L= 453.00, L_straight= 401.12, slack= 51.88, T_bat= 0.40, T_rov= 0.38, Fy_cmd=  0.00, desired= -1.00, ret= -0.05, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.20, L= 453.00, L_straight= 401.13, slack= 51.87, T_bat= 0.63, T_rov= 0.44, Fy_cmd=  0.00, desired= -1.00, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.30, L= 452.99, L_straight= 401.13, slack= 51.85, T_bat= 0.85, T_rov= 0.47, Fy_cmd=  0.00, desired= -1.00, ret= -0.15, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.40, L= 452.97, L_straight= 401.14, slack= 51.83, T_bat= 1.14, T_rov= 0.49, Fy_cmd=  0.00, desired= -1.00, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.50, L= 452.95, L_straight= 401.15, slack= 51.80, T_bat= 1.50, T_rov= 0.49, Fy_cmd=  0.00, desired= -1.00, ret= -0.25, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.60, L= 452.93, L_straight= 401.16, slack= 51.76, T_bat= 1.94, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.30, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.70, L= 452.90, L_straight= 401.18, slack= 51.72, T_bat= 2.42, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.35, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.80, L= 452.86, L_straight= 401.20, slack= 51.66, T_bat= 2.93, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.40, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 0.90, L= 452.82, L_straight= 401.21, slack= 51.61, T_bat= 3.44, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.45, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 1.00, L= 452.78, L_straight= 401.23, slack= 51.54, T_bat= 3.93, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.50, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 1.10, L= 452.73, L_straight= 401.25, slack= 51.47, T_bat= 4.38, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.55, exp=PILOT_ASC_REMOVE_SLACK_ACC
