[SCEN] t=0.00 scen=Fy crit=(t<5:-5) T_bat=0.008337781180859672 y=-400.00 x=30.00 L=403.00
IC_L_7: t= 0.10, L= 403.00, L_straight= 401.13, slack=  1.87, T_bat= 0.01, T_rov= 0.26, Fy_cmd= -5.00, desired=  1.00, ret=  0.05, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.20, L= 403.00, L_straight= 401.13, slack=  1.87, T_bat= 0.01, T_rov= 0.26, Fy_cmd= -5.00, desired=  1.00, ret=  0.10, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.30, L= 403.01, L_straight= 401.14, slack=  1.87, T_bat= 0.01, T_rov= 0.26, Fy_cmd= -5.00, desired=  1.00, ret=  0.15, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.40, L= 403.03, L_straight= 401.16, slack=  1.87, T_bat= 0.01, T_rov= 0.26, Fy_cmd= -5.00, desired=  1.00, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.50, L= 403.05, L_straight= 401.18, slack=  1.87, T_bat= 0.01, T_rov= 0.26, Fy_cmd= -5.00, desired=  1.00, ret=  0.25, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.60, L= 403.07, L_straight= 401.20, slack=  1.88, T_bat= 0.01, T_rov= 0.26, Fy_cmd= -5.00, desired=  1.00, ret=  0.30, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.70, L= 403.11, L_straight= 401.22, slack=  1.89, T_bat= 0.01, T_rov= 0.26, Fy_cmd= -5.00, desired=  1.00, ret=  0.35, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.80, L= 403.14, L_straight= 401.24, slack=  1.90, T_bat= 0.01, T_rov= 0.26, Fy_cmd= -5.00, desired=  1.00, ret=  0.40, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.90, L= 403.18, L_straight= 401.27, slack=  1.91, T_bat= 0.01, T_rov= 0.26, Fy_cmd= -5.00, desired=  1.00, ret=  0.45, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 1.00, L= 403.23, L_straight= 401.30, slack=  1.93, T_bat= 0.01, T_rov= 0.26, Fy_cmd= -5.00, desired=  1.00, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 1.10, L= 403.28, L_straight= 401.33, slack=  1.95, T_bat= 0.01, T_rov= 0.26, Fy_cmd= -5.00, desired=  1.00, ret=  0.55, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 1.20, L= 403.33, L_straight= 401.36, slack=  1.97, T_bat= 0.01, T_rov= 0.26, Fy_cmd= -5.00, desired=  1.00, ret=  0.59, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 1.30, L= 403.39, L_straight= 401.39, slack=  2.00, T_bat= 0.01, T_rov= 0.26, Fy_cmd= -5.00, desired=  1.00, ret=  0.64, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 1.40, L= 403.45, L_straight= 401.42, slack=  2.03, T_bat= 0.01, T_rov= 0.26, Fy_cmd= -5.00, desired=  1.00, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_ACC
