IC_L_7: t= 0.10, L= 102.00, L_straight= 100.05, slack=  1.95, T_bat= 0.13, T_rov= 0.19, F_drag_cable=( 0.00,  0.02), Fy_cmd=  0.00, desired= -0.21, ret= -0.02, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.20, L= 102.00, L_straight= 100.05, slack=  1.95, T_bat= 0.21, T_rov= 0.25, F_drag_cable=( 0.00,  0.04), Fy_cmd=  0.00, desired= -0.22, ret= -0.04, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.30, L= 101.99, L_straight= 100.06, slack=  1.94, T_bat= 0.26, T_rov= 0.28, F_drag_cable=( 0.00,  0.10), Fy_cmd=  0.00, desired= -0.25, ret= -0.06, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.40, L= 101.99, L_straight= 100.07, slack=  1.92, T_bat= 0.30, T_rov= 0.31, F_drag_cable=( 0.00,  0.14), Fy_cmd=  0.00, desired= -0.28, ret= -0.08, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.50, L= 101.98, L_straight= 100.08, slack=  1.90, T_bat= 0.35, T_rov= 0.33, F_drag_cable=( 0.00,  0.25), Fy_cmd=  0.00, desired= -0.32, ret= -0.11, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.60, L= 101.97, L_straight= 100.09, slack=  1.88, T_bat= 0.40, T_rov= 0.34, F_drag_cable=( 0.00,  0.37), Fy_cmd=  0.00, desired= -0.38, ret= -0.13, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.70, L= 101.96, L_straight= 100.11, slack=  1.85, T_bat= 0.46, T_rov= 0.36, F_drag_cable=( 0.00,  0.49), Fy_cmd=  0.00, desired= -0.44, ret= -0.16, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.80, L= 101.94, L_straight= 100.12, slack=  1.82, T_bat= 0.52, T_rov= 0.37, F_drag_cable=( 0.00,  0.61), Fy_cmd=  0.00, desired= -0.50, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 0.90, L= 101.92, L_straight= 100.14, slack=  1.78, T_bat= 0.59, T_rov= 0.39, F_drag_cable=( 0.00,  0.73), Fy_cmd=  0.00, desired= -0.56, ret= -0.23, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 1.00, L= 101.90, L_straight= 100.16, slack=  1.73, T_bat= 0.66, T_rov= 0.40, F_drag_cable=( 0.00,  0.84), Fy_cmd=  0.00, desired= -0.62, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 1.10, L= 101.87, L_straight= 100.18, slack=  1.69, T_bat= 0.73, T_rov= 0.41, F_drag_cable=( 0.00,  0.93), Fy_cmd=  0.00, desired= -0.68, ret= -0.31, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
