IC_L_7: t= 0.10, L= 100.00, L_straight= 99.99, slack=  0.01, T_bat= 100.00, T_rov= 100.00, F_drag_cable=( 0.00, -1.75), Fy_cmd=  0.00, desired=  1.00, ret=  0.10, exp=T_HARD_ACC
IC_L_7: t= 0.20, L= 100.01, L_straight= 99.94, slack=  0.07, T_bat= 100.00, T_rov= 100.00, F_drag_cable=( 0.00, -3.50), Fy_cmd=  0.00, desired=  1.00, ret=  0.19, exp=T_HARD_ACC
IC_L_7: t= 0.30, L= 100.03, L_straight= 99.88, slack=  0.15, T_bat= 100.00, T_rov= 100.00, F_drag_cable=( 0.00, -7.41), Fy_cmd=  0.00, desired=  1.00, ret=  0.27, exp=T_HARD_ACC
IC_L_7: t= 0.40, L= 100.06, L_straight= 99.81, slack=  0.24, T_bat= 100.00, T_rov= 100.00, F_drag_cable=( 0.00, -10.49), Fy_cmd=  0.00, desired=  1.00, ret=  0.34, exp=T_HARD_ACC
IC_L_7: t= 0.50, L= 100.09, L_straight= 99.74, slack=  0.36, T_bat= 100.00, T_rov= 100.00, F_drag_cable=( 0.00, -12.39), Fy_cmd=  0.00, desired=  1.00, ret=  0.41, exp=T_HARD_ACC
IC_L_7: t= 0.60, L= 100.13, L_straight= 99.65, slack=  0.48, T_bat= 100.00, T_rov= 100.00, F_drag_cable=( 0.00, -13.43), Fy_cmd=  0.00, desired=  1.00, ret=  0.47, exp=T_HARD_ACC
IC_L_7: t= 0.70, L= 100.18, L_straight= 99.57, slack=  0.61, T_bat= 100.00, T_rov= 100.00, F_drag_cable=( 0.00, -13.77), Fy_cmd=  0.00, desired=  1.00, ret=  0.52, exp=T_HARD_ACC
IC_L_7: t= 0.80, L= 100.23, L_straight= 99.49, slack=  0.74, T_bat= 65.10, T_rov= 74.16, F_drag_cable=( 0.00, -13.76), Fy_cmd=  0.00, desired=  1.00, ret=  0.57, exp=T_HARD_ACC
IC_L_7: t= 0.90, L= 100.29, L_straight= 99.41, slack=  0.87, T_bat= 59.84, T_rov= 70.56, F_drag_cable=( 0.00, -12.18), Fy_cmd=  0.00, desired=  1.00, ret=  0.61, exp=T_HARD_ACC
IC_L_7: t= 1.00, L= 100.35, L_straight= 99.34, slack=  1.01, T_bat= 60.00, T_rov= 70.09, F_drag_cable=( 0.00, -11.07), Fy_cmd=  0.00, desired=  1.00, ret=  0.65, exp=T_HARD_ACC
IC_L_7: t= 1.10, L= 100.41, L_straight= 99.27, slack=  1.14, T_bat= 60.26, T_rov= 70.05, F_drag_cable=( 0.00, -10.47), Fy_cmd=  0.00, desired=  1.00, ret=  0.69, exp=T_HARD_ACC
