IC_L_7: t= 0.10, L= 100.00, L_straight= 100.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.02), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.20, L= 100.00, L_straight= 99.99, slack=  0.01, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.04), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.30, L= 100.00, L_straight= 99.99, slack=  0.01, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.12), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.40, L= 100.00, L_straight= 99.98, slack=  0.02, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.22), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.50, L= 100.00, L_straight= 99.96, slack=  0.04, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.34), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.60, L= 100.00, L_straight= 99.95, slack=  0.05, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.47), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.70, L= 100.00, L_straight= 99.93, slack=  0.07, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.60), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.80, L= 100.00, L_straight= 99.91, slack=  0.09, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.73), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.90, L= 100.00, L_straight= 99.89, slack=  0.11, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.84), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.00, L= 100.00, L_straight= 99.87, slack=  0.13, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.95), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.10, L= 100.00, L_straight= 99.85, slack=  0.15, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.04), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.20, L= 100.00, L_straight= 99.82, slack=  0.18, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.12), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.30, L= 100.00, L_straight= 99.80, slack=  0.20, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.19), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.40, L= 100.00, L_straight= 99.78, slack=  0.22, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.24), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.50, L= 100.00, L_straight= 99.75, slack=  0.25, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.29), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.60, L= 100.00, L_straight= 99.73, slack=  0.27, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.33), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.70, L= 100.00, L_straight= 99.70, slack=  0.30, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.36), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.80, L= 100.00, L_straight= 99.67, slack=  0.33, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.38), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.90, L= 100.00, L_straight= 99.65, slack=  0.35, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.40), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.00, L= 100.00, L_straight= 99.62, slack=  0.38, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.42), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.10, L= 100.00, L_straight= 99.60, slack=  0.40, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.43), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.20, L= 100.00, L_straight= 99.57, slack=  0.43, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.44), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.30, L= 100.00, L_straight= 99.54, slack=  0.46, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.45), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.40, L= 100.00, L_straight= 99.52, slack=  0.48, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.50, L= 100.00, L_straight= 99.49, slack=  0.51, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.13, ret= -0.01, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.60, L= 100.00, L_straight= 99.46, slack=  0.54, T_bat= 0.39, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.18, ret= -0.03, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.70, L= 100.00, L_straight= 99.44, slack=  0.56, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.23, ret= -0.05, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.80, L= 99.99, L_straight= 99.41, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.27, ret= -0.07, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.90, L= 99.98, L_straight= 99.38, slack=  0.60, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.31, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.00, L= 99.97, L_straight= 99.36, slack=  0.62, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.35, ret= -0.12, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.10, L= 99.96, L_straight= 99.33, slack=  0.63, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.38, ret= -0.15, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.20, L= 99.95, L_straight= 99.30, slack=  0.65, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.40, ret= -0.17, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.30, L= 99.93, L_straight= 99.28, slack=  0.66, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.42, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.40, L= 99.91, L_straight= 99.25, slack=  0.66, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.44, ret= -0.22, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.50, L= 99.89, L_straight= 99.22, slack=  0.67, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.45, ret= -0.24, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.60, L= 99.86, L_straight= 99.19, slack=  0.67, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.45, ret= -0.26, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.70, L= 99.84, L_straight= 99.17, slack=  0.67, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.45, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
