[SCEN] t=0.00 scen=Fx crit=(:-5) T_bat=0.5 y=-10.00 x=0.00 L=10.00
IC_L_7: t= 0.10, L= 10.00, L_straight= 10.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.20, L= 10.00, L_straight=  9.99, slack=  0.01, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.30, L= 10.00, L_straight=  9.99, slack=  0.01, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.40, L= 10.00, L_straight=  9.98, slack=  0.02, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.01, -0.02), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.50, L= 10.00, L_straight=  9.96, slack=  0.04, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.01, -0.03), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.60, L= 10.00, L_straight=  9.95, slack=  0.05, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.01, -0.04), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.70, L= 10.00, L_straight=  9.93, slack=  0.07, T_bat= 0.40, T_rov= 0.50, F_drag_cable=( 0.02, -0.05), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.80, L= 10.00, L_straight=  9.91, slack=  0.09, T_bat= 0.47, T_rov= 0.50, F_drag_cable=( 0.02, -0.07), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 0.90, L= 10.00, L_straight=  9.89, slack=  0.11, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.03, -0.08), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.00, L= 10.00, L_straight=  9.87, slack=  0.13, T_bat= 0.40, T_rov= 0.50, F_drag_cable=( 0.04, -0.09), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.10, L= 10.00, L_straight=  9.85, slack=  0.15, T_bat= 0.41, T_rov= 0.50, F_drag_cable=( 0.05, -0.10), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.20, L= 10.00, L_straight=  9.83, slack=  0.17, T_bat= 0.41, T_rov= 0.50, F_drag_cable=( 0.05, -0.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.30, L= 10.00, L_straight=  9.80, slack=  0.20, T_bat= 0.41, T_rov= 0.50, F_drag_cable=( 0.06, -0.12), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.40, L= 10.00, L_straight=  9.78, slack=  0.22, T_bat= 0.41, T_rov= 0.50, F_drag_cable=( 0.07, -0.13), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.50, L= 10.00, L_straight=  9.75, slack=  0.25, T_bat= 0.41, T_rov= 0.50, F_drag_cable=( 0.07, -0.13), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.60, L= 10.00, L_straight=  9.73, slack=  0.27, T_bat= 0.41, T_rov= 0.50, F_drag_cable=( 0.08, -0.13), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.70, L= 10.00, L_straight=  9.70, slack=  0.30, T_bat= 0.41, T_rov= 0.50, F_drag_cable=( 0.08, -0.14), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.80, L= 10.00, L_straight=  9.68, slack=  0.32, T_bat= 0.41, T_rov= 0.50, F_drag_cable=( 0.09, -0.14), Fy_cmd=  0.00, desired= -0.17, ret= -0.02, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 1.90, L= 10.00, L_straight=  9.65, slack=  0.35, T_bat= 0.41, T_rov= 0.50, F_drag_cable=( 0.10, -0.14), Fy_cmd=  0.00, desired= -0.25, ret= -0.04, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.00, L= 9.99, L_straight=  9.63, slack=  0.37, T_bat= 0.41, T_rov= 0.50, F_drag_cable=( 0.10, -0.14), Fy_cmd=  0.00, desired= -0.32, ret= -0.07, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.10, L= 9.99, L_straight=  9.60, slack=  0.39, T_bat= 0.41, T_rov= 0.50, F_drag_cable=( 0.10, -0.14), Fy_cmd=  0.00, desired= -0.39, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.20, L= 9.98, L_straight=  9.58, slack=  0.40, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.11, -0.14), Fy_cmd=  0.00, desired= -0.44, ret= -0.13, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.30, L= 9.96, L_straight=  9.55, slack=  0.41, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.11, -0.15), Fy_cmd=  0.00, desired= -0.48, ret= -0.17, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.40, L= 9.95, L_straight=  9.52, slack=  0.42, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.11, -0.15), Fy_cmd=  0.00, desired= -0.51, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.50, L= 9.93, L_straight=  9.50, slack=  0.43, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.15), Fy_cmd=  0.00, desired= -0.53, ret= -0.24, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.60, L= 9.90, L_straight=  9.47, slack=  0.43, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.15), Fy_cmd=  0.00, desired= -0.54, ret= -0.27, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.70, L= 9.88, L_straight=  9.45, slack=  0.43, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.15), Fy_cmd=  0.00, desired= -0.53, ret= -0.29, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.80, L= 9.85, L_straight=  9.42, slack=  0.43, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.15), Fy_cmd=  0.00, desired= -0.52, ret= -0.32, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.90, L= 9.82, L_straight=  9.40, slack=  0.42, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.14), Fy_cmd=  0.00, desired= -0.50, ret= -0.33, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.00, L= 9.78, L_straight=  9.37, slack=  0.41, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.14), Fy_cmd=  0.00, desired= -0.47, ret= -0.35, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.10, L= 9.75, L_straight=  9.34, slack=  0.40, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.14), Fy_cmd=  0.00, desired= -0.44, ret= -0.36, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.20, L= 9.71, L_straight=  9.32, slack=  0.39, T_bat= 0.42, T_rov= 0.50, F_drag_cable=( 0.12, -0.14), Fy_cmd=  0.00, desired= -0.41, ret= -0.36, exp=PILOT_ASC_REMOVE_SLACK_ACC
