[SCEN] t=0.00 scen=Fy crit=(:-10) T_bat=0.5 y=-500.00 x=0.00 L=10.00
IC_L_7: t= 0.10, L= 10.00, L_straight= 10.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired=  1.00, ret=  0.10, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.20, L= 10.01, L_straight= 10.00, slack=  0.01, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired=  1.00, ret=  0.19, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.30, L= 10.03, L_straight= 10.00, slack=  0.03, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired=  1.00, ret=  0.27, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.40, L= 10.06, L_straight= 10.00, slack=  0.06, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired=  1.00, ret=  0.34, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.50, L= 10.09, L_straight= 10.00, slack=  0.09, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired=  1.00, ret=  0.41, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.60, L= 10.13, L_straight= 10.00, slack=  0.13, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired=  0.89, ret=  0.46, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.70, L= 10.18, L_straight= 10.00, slack=  0.17, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired=  0.71, ret=  0.48, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.80, L= 10.23, L_straight= 10.01, slack=  0.22, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired=  0.52, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 0.90, L= 10.27, L_straight= 10.01, slack=  0.27, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired=  0.33, ret=  0.47, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 1.00, L= 10.32, L_straight= 10.01, slack=  0.31, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired=  0.20, ret=  0.44, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 1.10, L= 10.37, L_straight= 10.01, slack=  0.35, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired=  0.20, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
